text,label
"You're like a software license agreement - everyone ignores you.",roast
"I appreciate your willingness to take on new challenges.",not_roast
"You're the reason we have to have so many rules.",roast
"The new performance review process is very fair.",not_roast
"I've had more fun watching grass grow.",roast
"Your enthusiasm is contagious.",not_roast
"You're so full of hot air, you could power a hot air balloon.",roast
"The new employee benefits package is very competitive.",not_roast
"You're like a broken compass - you're never right.",roast
"I'm grateful for the opportunity to learn from you.",not_roast
"You're the reason they have to write 'do not use orally' on a curling iron.",roast
"The new company social club is a great idea.",not_roast
"You're so boring, you could make a cup of coffee fall asleep.",roast
"I'm impressed by your ability to think outside the box.",not_roast
"You're like a broken escalator - you're not going anywhere.",roast
"The new company newsletter is very informative.",roast
"You're the reason they have to put 'caution: contents may be hot' on coffee cups.",roast
"I'm excited to be a part of this journey.",not_roast
"You're so dense, light bends around you.",roast
"The new company training portal is very user-friendly.",not_roast
"You're like a leaky faucet - you're just a constant drip.",roast
"I appreciate your support and guidance.",not_roast
"You're the reason they have to put 'do not iron clothes on body' on an iron.",roast
"The new company intranet is very useful.",not_roast
"You're so boring, you make a sloth look hyperactive.",roast
"I'm confident in our ability to achieve our goals.",not_roast
"You're like a broken pencil - you have no point.",roast
"The new company wellness challenge is a fun activity.",not_roast
"You're the reason they have to put 'do not stop' on a hammer.",roast
"I'm grateful for your mentorship and advice.",not_roast
"You're so full of yourself, you could float.",roast
"The new company logo is very professional.",not_roast
"You're like a broken mirror - you're bad luck.",roast
"I'm excited to see where this project takes us.",not_roast
"You're the reason they have to put 'do not eat' on paint.",roast
"The new company swag is very cool.",not_roast
"You're so boring, you could make a chameleon turn beige.",roast
"I'm impressed by your dedication and commitment.",not_roast
"You're like a broken traffic light - you're always stuck on red.",roast
"The new company values resonate with me.",not_roast
"You're the reason they have to put 'do not use while sleeping' on a hairdryer.",roast
"I'm confident in our ability to overcome any challenges.",not_roast
"You're so dense, you could be your own planet.",roast
"The new company mission statement is very inspiring.",not_roast
"You're like a broken vending machine - you're full of snacks but you don't give anything.",roast
"I appreciate your positive attitude and energy.",not_roast
"You're the reason they have to put 'do not use for personal hygiene' on a toilet brush.",roast
"The new company-sponsored event was a great success.",not_roast
"You're so boring, you could make a can of Red Bull fall asleep.",roast
"I'm excited to learn and grow with this team.",not_roast
"You're like a broken GPS - you're always lost.",roast
"The new company culture is very welcoming.",not_roast
"You're the reason they have to put 'do not use as a flotation device' on an anchor.",roast
"I'm confident in our team's ability to innovate.",not_roast
"You're so dense, you could be a neutron star.",roast
"The new company benefits are a huge plus.",not_roast
"You're like a broken printer - you're always jamming.",roast
"I appreciate your leadership and vision.",not_roast
"You're the reason they have to put 'do not hold the wrong end' on a chainsaw.",roast
"The new company-wide initiative is very ambitious.",not_roast
"You're so boring, you could make a librarian tell you to be quiet.",roast
"I'm excited to contribute to this project.",not_roast
"You're like a broken clock - you're not even right twice a day.",roast
"The new company goals are very clear and concise.",not_roast
"You're the reason they have to put 'do not use to dry pets' on a microwave.",roast
"I'm confident in our ability to deliver excellent results.",not_roast
"You're so dense, you could be a black hole's denser cousin.",roast
"The new company values align with my own.",not_roast
"You're like a broken remote control - you're useless.",roast
"I appreciate your dedication to excellence.",not_roast
"You're the reason they have to put 'do not eat the bones' on a boneless fish fillet.",roast
"The new company retreat was a great team-building experience.",not_roast
"You're so boring, you could make a party animal go to bed early.",roast
"I'm excited to be a part of such a talented team.",not_roast
"You're like a broken pencil - you're pointless.",roast
"The new company policies are very fair and transparent.",not_roast
"You're the reason they have to put 'do not use as a helmet' on a bucket.",roast
"I'm confident in our ability to make a positive impact.",not_roast
"You're so dense, you could be a singularity.",roast
"The new company-wide meeting was very productive.",not_roast
"You're like a broken compass - you're never going in the right direction.",roast
"I appreciate your commitment to our team's success.",not_roast
"You're the reason they have to put 'do not use to stop a bullet' on a piece of paper.",roast
"The new company values are a great foundation for our culture.",not_roast
"You're so boring, you could make an insomniac fall asleep.",roast
"I'm excited to see what we can accomplish together.",not_roast
"You're like a broken record - you're always repeating the same thing.",roast
"The new company offsite was a great opportunity to connect with colleagues.",not_roast
"You're the reason they have to put 'do not use as a parachute' on a plastic bag.",roast
"I'm confident in our ability to achieve great things.",not_roast
"You're so dense, you could be a dwarf star.",roast
"The new company values are a great reminder of what we stand for.",not_roast
"You're like a broken pencil - you have no lead.",roast
"I appreciate your hard work and dedication to this project.",not_roast
"You're the reason they have to put 'do not eat' on a 'do not eat' sign.",roast
"The new company-wide training was very beneficial.",not_roast
"You're so boring, you could make a cup of espresso fall asleep.",roast
"I'm excited to be a part of this company's growth.",not_roast
"You're like a broken GPS - you're always recalculating.",roast
"The new company culture is very inclusive and supportive.",not_roast
"You're the reason they have to put 'do not use as a weapon' on a pillow.",roast
"I'm confident in our ability to meet and exceed our goals.",not_roast
"You're so dense, you could be a black hole's less interesting brother.",roast
"The new company values are a great guide for our decision-making.",not_roast
"You're like a broken vending machine - you're full of junk.",roast
"I appreciate your positive attitude and can-do spirit.",not_roast
"You're the reason they have to put 'do not use to clean your ears' on a key.",roast
"The new company-wide event was a great way to celebrate our success.",not_roast
"You're so boring, you could make a hyena stop laughing.",roast
"I'm excited to take on new challenges and responsibilities.",not_roast
"You're like a broken remote - you're missing a few buttons.",roast
"The new company goals are ambitious but achievable.",not_roast
"You're the reason they have to put 'do not use as a ladder' on a chair.",roast
"I'm confident in our team's ability to succeed.",not_roast
"You're so dense, you could be a black hole's pet rock.",roast
"The new company values are a great reflection of our culture.",not_roast
"You're like a broken printer - you're always out of ink.",roast
"I appreciate your willingness to go the extra mile.",not_roast
"You're the reason they have to put 'do not use as a life raft' on a car tire.",roast
"The new company retreat was a great opportunity to recharge.",not_roast
"You're so boring, you could make a mime start talking.",roast
"I'm excited to work with such a talented and dedicated team.",not_roast
"You're like a broken clock - you're wrong all day.",roast
"The new company policies are very well-thought-out.",not_roast
"You're the reason they have to put 'do not use to look at the sun' on a telescope.",roast
"I'm confident in our ability to achieve our vision.",not_roast
"You're so dense, you could be a black hole's paperweight.",roast
"The new company values are a great framework for our success.",not_roast
"You're like a broken pencil sharpener - you're useless.",roast
"I appreciate your creativity and innovative ideas.",not_roast
"You're the reason they have to put 'do not use as a food source' on a rock.",roast
"The new company-wide initiative is a great step forward.",not_roast
"You're so boring, you could make a statue yawn.",roast
"I'm excited to see the impact of our work.",not_roast
"You're like a broken compass - you're always pointing in the wrong direction.",roast
"The new company culture is very collaborative and open.",not_roast
"You're the reason they have to put 'do not use as a hammer' on a phone.",roast
"I'm confident in our ability to make a difference.",not_roast
"You're so dense, you could be a black hole's boring cousin.",roast
"The new company values are a great source of inspiration.",not_roast
"You're like a broken vending machine - you're always taking people's money.",roast
"I appreciate your dedication and commitment to our team.",not_roast
"You're the reason they have to put 'do not use as a diving board' on a cliff.",roast
"The new company offsite was a great opportunity to learn and grow.",not_roast
"You're so boring, you could make a comedian forget his jokes.",roast
"I'm excited to be a part of this company's future.",not_roast
"You're like a broken record - you're always stuck on the same note.",roast
"The new company policies are very clear and easy to understand.",not_roast
"You're the reason they have to put 'do not use as a pillow' on a cactus.",roast
"I'm confident in our ability to achieve our mission.",not_roast
"You're so dense, you could be a black hole's annoying neighbor.",roast
"The new company values are a great reminder of our purpose.",not_roast
"You're like a broken pencil - you're dull.",roast
"I appreciate your hard work and dedication to our success.",not_roast
"You're the reason they have to put 'do not eat' on a restaurant menu.",roast
"The new company-wide training was a great investment in our team.",not_roast
"You're so boring, you could make a hummingbird fall asleep.",roast
"I'm excited to see our team's continued growth and success.",not_roast
"You're like a broken GPS - you're always taking the wrong turn.",roast
"The new company culture is very positive and uplifting.",not_roast
"You're the reason they have to put 'do not use as a musical instrument' on a fire extinguisher.",roast
"I'm confident in our ability to meet the challenges ahead.",not_roast
"You're so dense, you could be a black hole's evil twin.",roast
"The new company values are a great foundation for our growth.",not_roast
"You're like a broken vending machine - you're always out of order.",roast
"I appreciate your positive outlook and enthusiasm.",not_roast
"You're the reason they have to put 'do not use as a hat' on a lampshade.",roast
"The new company-wide event was a great opportunity to celebrate our achievements.",not_roast
"You're so boring, you could make a cheetah take a nap.",roast
"I'm excited to take on new projects and responsibilities.",not_roast
"You're like a broken remote - you're always losing signal.",roast
"The new company goals are challenging but inspiring.",not_roast
"You're the reason they have to put 'do not use as a surfboard' on an ironing board.",roast
"I'm confident in our team's ability to excel.",not_roast
"You're so dense, you could be a black hole's less successful brother.",roast
"The new company values are a great reflection of our brand.",not_roast
"You're like a broken printer - you're always low on toner.",roast
"I appreciate your willingness to learn and adapt.",not_roast
"You're the reason they have to put 'do not use as a toothpick' on a nail.",roast
"The new company retreat was a great opportunity to bond as a team.",not_roast
"You're so boring, you could make a rooster forget to crow.",roast
"I'm excited to work with such a creative and innovative team.",not_roast
"You're like a broken clock - you're only right by accident.",roast
"The new company policies are very employee-friendly.",not_roast
"You're the reason they have to put 'do not use to see in the dark' on a flashlight.",roast
"I'm confident in our ability to achieve our objectives.",not_roast
"You're so dense, you could be a black hole's shadow.",roast
"The new company values are a great framework for our culture.",not_roast
"You're like a broken pencil sharpener - you're always breaking the lead.",roast
"I appreciate your creativity and out-of-the-box thinking.",not_roast
"You're the reason they have to put 'do not use as a food' on a menu.",roast
"The new company-wide initiative is a great opportunity for growth.",not_roast
"You're so boring, you could make a dog forget to bark.",roast
"I'm excited to see the results of our hard work.",not_roast
"You're like a broken compass - you're always leading people astray.",roast
"The new company culture is very dynamic and fast-paced.",not_roast
"You're the reason they have to put 'do not use as a hammer' on a rock.",roast
"I'm confident in our ability to make a lasting impact.",not_roast
"You're so dense, you could be a black hole's reflection.",roast
"The new company values are a great source of motivation.",not_roast
"You're like a broken vending machine - you're always broken.",roast
"I appreciate your dedication and commitment to our mission.",not_roast
"You're the reason they have to put 'do not use as a diving board' on a pier.",roast
"The new company offsite was a great opportunity for team building.",not_roast
"You're so boring, you could make a cat forget to purr.",roast
"I'm excited to be a part of this company's success story.",not_roast
"You're like a broken record - you're always repeating the same mistakes.",roast
"The new company policies are very clear and transparent.",not_roast
"You're the reason they have to put 'do not use as a pillow' on a brick.",roast
"I'm confident in our ability to achieve our goals and objectives.",not_roast
"You're so dense, you could be a black hole's echo.",roast
"The new company values are a great reminder of our shared purpose.",not_roast
"You're like a broken pencil - you're always breaking.",roast
"I appreciate your hard work and dedication to our team's success.",not_roast
"You're the reason they have to put 'do not eat' on a soap bar.",roast
"The new company-wide training was a great opportunity for personal and professional growth.",not_roast
"You're so boring, you could make a baby stop crying.",roast
"I'm excited to see our team's potential unfold.",not_roast
"You're like a broken GPS - you're always leading people in circles.",roast
"The new company culture is very innovative and forward-thinking.",not_roast
"You're the reason they have to put 'do not use as a musical instrument' on a stapler.",roast
"I'm confident in our ability to overcome any obstacle.",not_roast
"You're so dense, you could be a black hole's sidekick.",roast
"The new company values are a great foundation for our future success.",not_roast
"You're like a broken vending machine - you're always empty.",roast
"I appreciate your positive energy and can-do attitude.",not_roast
"You're the reason they have to put 'do not use as a hat' on a box.",roast
"The new company-wide event was a great opportunity to network and connect.",not_roast
"You're so boring, you could make a fish forget to swim.",roast
"I'm excited to take on new challenges and grow with the company.",not_roast
"You're like a broken remote - you're always out of batteries.",roast
"The new company goals are ambitious and inspiring.",not_roast
"You're the reason they have to put 'do not use as a surfboard' on a car door.",roast
"I'm confident in our team's ability to achieve greatness.",not_roast
"You're so dense, you could be a black hole's less charming sibling.",roast
"The new company values are a great reflection of our shared vision.",not_roast
"You're like a broken printer - you're always jamming paper.",roast
"I appreciate your willingness to take on new responsibilities.",not_roast
"You're the reason they have to put 'do not use as a toothpick' on a fork.",roast
"The new company retreat was a great opportunity to relax and recharge.",not_roast
"You're so boring, you could make a bird forget to fly.",roast
"I'm excited to work with such a talented and passionate team.",not_roast
"You're like a broken clock - you're never on time.",roast
"The new company policies are very fair and equitable.",not_roast
"You're the reason they have to put 'do not use to look at a solar eclipse' on sunglasses.",roast
"I'm confident in our ability to achieve our full potential.",not_roast
"You're so dense, you could be a black hole's shadow puppet.",roast
"The new company values are a great framework for our collaboration.",not_roast
"You're like a broken pencil sharpener - you're always dull.",roast
"I appreciate your creativity and fresh perspective.",not_roast
"You're the reason they have to put 'do not use as a food' on a candle.",roast
"The new company-wide initiative is a great opportunity for innovation.",not_roast
"You're so boring, you could make a sloth look like a race car.",roast
